Movie_count,Title,Phase,Year,MediaType,Poster_link,Hotstar_link,YTS_Link,Netflix_Link,AmznPrime_Link
40,Black Widow,Phase 4,2021,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/BlackWidow.png,https://www.hotstar.com/in/movies/black-widow/1260067485,https://en.yts-official.biz/movies/black-widow-2021/,,
41,What If...? (Season 1),Phase 4,2021,show,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/series/WhatIf.png,https://www.hotstar.com/in/shows/what-if/1260066057,,,
42,Shang-Chi and the Legend of the Ten Rings,Phase 4,2021,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/ShangChi_And_Ten_Rings.png,https://www.hotstar.com/in/movies/shang-chi-and-the-legend-of-the-ten-rings/1260072682,https://en.yts-official.biz/movies/shang-chi-and-the-legend-of-the-ten-rings-2021/,,
43,Eternals,Phase 4,2021,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/Eternals.png,https://www.hotstar.com/in/movies/eternals/1260077949,https://en.yts-official.biz/movies/eternals-2021/,,
44,Hawkeye,Phase 4,2021,show,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/series/hawkeye.png,https://www.hotstar.com/in/shows/hawkeye/1260073683,,,
45,Spider-Man: No Way Home,Phase 4,2021,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/SpiderMan_NoWayHome.png,https://www.hotstar.com/in/movies/spider-man-no-way-home/1271661204,https://en.yts-official.biz/movies/spider-man-no-way-home-2021/,,
46,Moon Knight,Phase 4,2022,show,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/series/moonKnight.png,https://www.hotstar.com/in/shows/moon-knight/1260089681,,,
47,Doctor Strange in the Multiverse of Madness,Phase 4,2022,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/DoctorStrange_MultiverseOfMadness.png,https://www.hotstar.com/in/movies/doctor-strange-in-the-multiverse-of-madness/1260103761,https://en.yts-official.biz/movies/doctor-strange-in-the-multiverse-of-madness-2022/,,
48,Ms. Marvel,Phase 4,2022,show,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/series/msMarvel.png,https://www.hotstar.com/in/shows/ms-marvel/1260098459,,,
49,Thor: Love and Thunder,Phase 4,2022,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/Thor_LoveAndThunder.png,https://www.hotstar.com/in/movies/thor-love-and-thunder/1260110008,https://en.yts-official.biz/movies/thor-love-and-thunder-2022/,,
50,I Am Groot (Season 1),Phase 4,2022,show,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/series/iAmGroot.png,https://www.hotstar.com/in/shows/i-am-groot/1260146581,,,
51,She-Hulk: Attorney at Law,Phase 4,2022,show,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/series/shehulk.png,https://www.hotstar.com/in/shows/she-hulk-attorney-at-law/1260103788,,,
52,Werewolf by Night,Phase 4,2022,special,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/series/werewolfByNight.png,,,,
53,Black Panther: Wakanda Forever,Phase 4,2022,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/BlackPanther_WakandaForever.png,https://www.hotstar.com/in/movies/black-panther-wakanda-forever/1260118821,https://en.yts-official.biz/movies/black-panther-wakanda-forever-2022/,,
54,The Guardians of the Galaxy Holiday Special,Phase 4,2022,special,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/series/gog_HolidaySpecial.png,https://www.hotstar.com/in/movies/the-guardians-of-the-galaxy-holiday-special/1260111097,https://en.yts-official.biz/movies/the-guardians-of-the-galaxy-holiday-special-2022/,,
S06,Spider-Man: Into the Spider Verse,Spider-Verse,2018,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/SpiderMan_IntoTheSpiderVerse.png,https://www.hotstar.com/in/movies/spider-man-into-the-spider-verse/1271668892,https://en.yts-official.biz/movies/spider-man-into-the-spider-verse-2018/,,
S07,Spider-Man: Across the Spider Verse,Spider-Verse,2023,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/SpiderMan_AcrossTheSpiderVerse.png,,https://en.yts-official.biz/movies/spider-man-across-the-spider-verse-2023/,https://www.netflix.com/title/81594921,
S08,Spider-Man: Beyond the Spider Verse,Spider-Verse,2027 (Upcoming),movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/SpiderMan_BeyondTheSpiderVerse.png,,,,
55,Ant-Man and the Wasp: Quantumania,Phase 5,2023,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/AntMan_and_The_Wasp_Quantumania.png,https://www.hotstar.com/in/movies/ant-man-and-the-wasp-quantumania/1260140795,https://en.yts-official.biz/movies/ant-man-and-the-wasp-quantumania-2023/,,
